"climate_worry","age","gender","income","right_orientation","region","happiness","life_satisfaction","year","expo","years_education"
1,47,FALSE,9,10,"Budapest",8,8,"1",-0.0870737671852112,13
1,42,FALSE,5,10,"Budapest",7,10,"1",-0.0930628538131714,13
2,67,TRUE,10,10,"Budapest",9,8,"1",-0.0990519404411316,15
2,31,FALSE,5,5,"Budapest",8,10,"1",-0.0451501607894897,13
2,23,FALSE,10,5,"Budapest",10,8,"1",-0.0750955939292908,13
3,71,FALSE,4,0,"Budapest",9,5,"1",-0.0451501607894897,13
2,73,FALSE,1,0,"Budapest",5,3,"1",-0.0451501607894897,10
1,32,TRUE,6,5,"Budapest",9,9,"1",-0.0451501607894897,11
2,38,FALSE,7,10,"Budapest",10,8,"1",-0.0571283340454102,16
4,51,FALSE,6,5,"Budapest",9,9,"1",-0.0451501607894897,13
2,61,FALSE,2,0,"Budapest",7,6,"1",-0.0571283340454102,13
1,36,TRUE,2,9,"Budapest",8,8,"1",-0.0631174206733704,13
3,32,TRUE,3,8,"Budapest",7,7,"1",-0.0631174206733704,16
3,48,TRUE,5,5,"Budapest",6,6,"1",-0.081084680557251,14
3,21,FALSE,4,4,"Budapest",8,9,"1",-0.0691065073013306,13
3,62,FALSE,9,8,"Budapest",6,8,"1",-0.0870737671852112,16
3,38,FALSE,10,8,"Budapest",8,9,"1",-0.0930628538131714,13
3,65,TRUE,8,7,"Budapest",6,9,"1",-0.0870737671852112,18
4,26,TRUE,10,7,"Budapest",9,8,"1",-0.0750955939292908,14
4,21,TRUE,7,7,"Budapest",6,9,"1",-0.0691065073013306,13
3,87,TRUE,1,7,"Budapest",7,8,"1",-0.0870737671852112,11
3,87,FALSE,2,4,"Budapest",7,8,"1",-0.0750955939292908,13
3,77,FALSE,4,5,"Budapest",7,7,"1",-0.0750955939292908,13
2,37,FALSE,2,10,"Budapest",8,7,"1",-0.0990519404411316,11
3,82,FALSE,1,0,"Budapest",8,2,"1",-0.0451501607894897,10
2,32,FALSE,8,9,"Budapest",9,6,"1",-0.0930628538131714,13
3,51,FALSE,7,10,"Budapest",8,9,"1",-0.0930628538131714,13
3,25,TRUE,9,10,"Budapest",10,8,"1",-0.0870737671852112,13
3,42,TRUE,8,10,"Budapest",7,8,"1",-0.0750955939292908,11
2,71,FALSE,1,0,"Budapest",10,6,"1",-0.0750955939292908,13
2,37,TRUE,1,10,"Budapest",9,6,"1",-0.0930628538131714,13
2,61,FALSE,5,10,"Budapest",10,8,"1",-0.0990519404411316,13
2,66,FALSE,3,7,"Budapest",5,6,"1",-0.0870737671852112,13
1,67,FALSE,2,10,"Budapest",10,7,"1",-0.081084680557251,13
3,65,FALSE,6,0,"Budapest",7,6,"1",-0.0571283340454102,13
3,52,TRUE,4,10,"Budapest",9,6,"1",-0.081084680557251,13
2,41,TRUE,4,10,"Budapest",8,8,"1",-0.105041027069092,11
2,28,FALSE,3,8,"Budapest",5,7,"1",-0.0930628538131714,13
1,47,FALSE,9,10,"Budapest",10,9,"1",-0.0930628538131714,16
3,36,TRUE,7,6,"Budapest",9,5,"1",-0.0750955939292908,13
3,46,TRUE,8,10,"Budapest",8,10,"1",-0.0990519404411316,13
2,71,FALSE,4,0,"Budapest",5,3,"1",-0.0451501607894897,10
2,85,FALSE,1,0,"Budapest",6,2,"1",-0.0451501607894897,10
2,42,FALSE,6,10,"Budapest",9,8,"1",-0.0750955939292908,16
3,71,TRUE,1,0,"Budapest",7,4,"1",-0.0511392474174499,10
3,65,FALSE,2,8,"Budapest",8,8,"1",-0.0930628538131714,16
3,38,FALSE,7,8,"Budapest",6,8,"1",-0.081084680557251,16
3,47,FALSE,8,8,"Budapest",9,7,"1",-0.0870737671852112,13
3,64,TRUE,2,8,"Budapest",9,6,"1",-0.0930628538131714,11
